#Wavelength,Es305,Es340,Es380,Es412,Es443,Es510,Es610,Es625,Es665,Es694,Es750,Es765,Es875,Es940,Es1020,Es1245,Es1550,Es1640,Es0
311.5,0.016765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.096796413
312,0.003228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.097489582
312.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.098182023
313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.098873743
313.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.099564754
314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100255064
314.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100944683
315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101633623
315.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102321893
316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.103009506
316.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.103696473
317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104382807
317.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105068522
318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105753632
318.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106438152
319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.107122099
319.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.107805488
320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108488339
320.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.109170672
321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.109852509
321.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.110533871
322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111214784
322.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111895274
323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.112575369
323.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.113255099
324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.113934494
324.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.114613587
325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.115292409
325.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.115970993
326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.116649374
326.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117327587
327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.118005668
327.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.118683657
328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.119361591
328.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.120039512
329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.120717461
329.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12139548
330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.122073611
330.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.122751898
331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.123430383
331.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.124109113
332,0,0.00106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.124788131
332.5,0,0.003648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125467483
333,0,0.002686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.126147216
333.5,0,0.005851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.126827375
334,0,0.016628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.127508008
334.5,0,0.032974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.128189162
335,0,0.100065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.128870885
335.5,0,0.248564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.129553226
336,0,0.515418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.130236233
336.5,0,0.766695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.130919956
337,0,0.851239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.131604447
337.5,0,0.85705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.132289756
338,0,0.869669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.132975937
338.5,0,0.912091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.133663044
339,0,0.950088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.134351134
339.5,0,0.973903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.135040263
340,0,0.965661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.135730492
340.5,0,0.955811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.136421879
341,0,0.959431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.137114486
341.5,0,0.961887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.137808376
342,0,0.981817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.138503613
342.5,0,0.999455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.139200266
343,0,0.951235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.139898402
343.5,0,0.870022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.140598094
344,0,0.7553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.141299415
344.5,0,0.572589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142002442
345,0,0.366979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142707253
345.5,0,0.1677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143413928
346,0,0.060612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.144122549
346.5,0,0.025861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.144833202
347,0,0.011504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.145545972
347.5,0,0.002827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.146260948
348,0,0.003034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.146978219
348.5,0,0.003115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147697877
349,0,0.001387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.148420015
349.5,0,0.002041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.149144728
350,0,0.001273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.149872113
350.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.150602267
351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.151335288
351.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.152071277
352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.152810333
352.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.153552555
353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.154298045
353.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.155046902
354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.155799225
354.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.156555113
355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.157314665
355.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.158077975
356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15884514
356.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.159616253
357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.160391407
357.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.161170691
358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.161954195
358.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.162742008
359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.163534215
359.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.164330903
360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.165132154
360.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.165938051
361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166748675
361.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.167564104
